t,ax,ay,az,gx,gy,gz
3.465059757232666,7506,16279,5071,-24388,18843,8730
3.4769628047943115,8995,16249,4522,-25282,16647,4056
3.4888947010040283,9710,13636,6098,-26886,16894,767
3.5008773803710938,9841,11581,6848,-27423,18810,2564
3.5128393173217773,9610,12373,6606,-26854,21199,4803
3.5247724056243896,8136,13648,7062,-26980,23012,6375
3.536713123321533,15427,10233,10111,-27353,20868,7324
3.5486955642700195,17708,15714,8447,-23849,27732,12372
3.5606398582458496,17145,21535,8508,-26063,32767,20781
3.5725796222686768,9706,12642,7488,-32768,32767,10031
3.5844881534576416,-348,10244,767,-32768,32651,12679
3.596475601196289,10122,12990,5380,-32755,32767,10687
3.608403205871582,17333,8990,7051,-32768,32765,9095
3.620328187942505,7109,8383,5464,-32766,32767,12739
3.632270097732544,-4773,7239,3655,-32767,32767,15195
3.6441774368286133,-6304,6665,3228,-32768,32767,15216
3.656132221221924,399,854,6227,-32768,32767,9488
3.6680684089660645,-6172,-3627,4231,-32768,32767,8477
3.680004596710205,-16293,-5525,4406,-31496,32767,8634
3.6919362545013428,-19427,-5113,8597,-27927,31706,7235
3.7038381099700928,-10524,769,12116,-26044,23648,5945
3.715797185897827,-6846,1024,10141,-28958,23628,2274
3.7277519702911377,-10158,-5712,6541,-26370,24449,1661
3.7397501468658447,-15559,-5530,8055,-23120,23172,3769
3.7517356872558594,-20214,-5546,10057,-21659,17831,1977
3.7637336254119873,-19889,-6433,9773,-21207,8169,-2074
3.7756690979003906,-10906,-7969,9397,-21212,-48,-2137
3.787606954574585,-22060,-9680,8279,-13938,3891,4445
3.799525022506714,-27466,-12087,11236,-9876,-8068,3928
3.811461925506592,-26104,-5725,10527,-4329,-23636,5369
3.823366165161133,-13933,-3886,11826,-2901,-32768,-170
3.835306167602539,-15235,-8476,13131,-1893,-32768,1501
3.8472442626953125,-8721,-7315,13155,8022,-32768,5796
3.8591816425323486,-4936,-8280,14547,11700,-32768,11151
3.8711495399475098,-10245,-8821,14016,14021,-32764,16035
3.8830580711364746,-13079,-11119,13846,16139,-32768,14462
3.8949995040893555,-9921,-13533,13999,21122,-32768,9433
3.9069347381591797,-1973,-2483,10036,32767,-32768,4942
3.918869733810425,12410,1967,13672,32767,-32768,-1745
3.930807590484619,15146,3943,16662,30129,-31809,7398
3.9427096843719482,3053,-1423,12750,23501,-22694,14552
3.9546425342559814,-13435,-7624,14028,23401,-20174,18157
3.9665749073028564,-5149,-1962,11808,28731,-32768,10370
3.978534460067749,9982,1790,15919,19347,-31275,7597
3.9904732704162598,-4733,2993,12573,11032,-28399,11707
4.002380132675171,-1907,-3231,22203,8038,-32737,-1016
4.014311075210571,2052,-520,13369,15246,-32768,-7011
4.0262346267700195,2657,10848,12137,14247,-32689,-3906
4.038170337677002,6217,203,12425,8582,-32768,-11608
4.050090789794922,4617,970,9681,8765,-32767,-8148
4.061996698379517,7810,1101,12156,8549,-32768,-8942
4.073931932449341,10068,-2617,8816,11073,-32768,-17337
4.0859055519104,14635,-1137,7774,18736,-32768,-17479
4.097840785980225,13956,1904,7909,20013,-32768,-13557
4.1097753047943115,21524,3877,7564,23680,-32768,-11764
4.121709585189819,21428,6295,10330,19887,-27968,761
4.133629322052002,10548,4953,10456,13914,-17591,6313
4.14557147026062,8280,2291,7604,11367,-21318,1330
4.157505035400391,11598,-2682,7311,13413,-26801,-8119
4.169456243515015,7527,2728,4430,24165,-28575,-7995
4.181411981582642,8410,6058,3055,24741,-31972,-9583
4.193374156951904,8119,7841,1946,23124,-32768,-11534
4.20531702041626,11055,10214,-691,20526,-32768,-11974
4.217245578765869,13656,5851,-3645,18255,-32364,-14230
4.229150056838989,4502,5531,-3004,23720,-28104,-10568
4.241097450256348,7323,9587,-2870,23576,-32768,-12093
4.253036975860596,11582,9086,-3212,19671,-32768,-15074
4.2649757862091064,10972,10053,-3820,15433,-31485,-13384
4.276904106140137,9704,11728,-5258,10111,-28687,-12512
4.288801670074463,7256,11053,-6156,736,-26026,-14691
4.300759792327881,7657,9291,-8652,-3114,-25951,-15961
4.312696933746338,4964,7955,-12300,-258,-26204,-18720
